anchors,positives
What are the specific areas of technology for which design criteria are being developed by NASA?,"NASA NASA SP-8123 SPACE VEHICLE DESIGN CRITERIA (CHEMICAL PROPULSION) LIQUID ROCKET LINES, BELLOWS, FLEXIBLE HOSES, AND FILTERS i ed coP Re co APRIL 1977 | FOREWORD NASA experience has indicated a need for uniform criteria for the design of space vehicles. Accordingly, criteria are being developed in the following areas of technology: Environment | | Structures Guidance and Control | | Chemical Propulsion Individual components of this work will be issued as separate monographs as soon as they are completed. "
What is the intended purpose of the monographs included in the series on Chemical Propulsion?,"This document, part of the series on Chemical Propulsion, is one such monograph. A list of all monographs issued prior to this one can be found on the final pages of this document. | These monographs are to be regarded as guides to design and not as NASA requirements, except as may be specified in formal project specifications. It is expected, however, that | these documents, revised as experience may indicate to be desirable, eventually will provide | uniform design practices for NASA space vehicles. "
Who was responsible for the project management of the monograph regarding liquid rocket components?,"This monograph, “Liquid Rocket Lines, Bellows, Flexible Hoses, and Filters”, was prepared | under the direction of Howard W. Douglass, Chief, Design Criteria Office, Lewis Research Center; project management was by M. Murray Bailey. The monograph was written by C. M. Daniels, Rocketdyne Division, Rockwell International Corporation and was edited by Russell B. Keller, Jr. of Lewis. Significant contributions to the text were made by T. "
Who contributed to the validation and critical review process of the technical document mentioned?,"Nelson, | J. R. Rollins, and L. Sack of Rocketdyne Division, Rockwell International Corporation. To assure technical accuracy of this document, scientists and engineers throughout the technical community participated in interviews, consultations, and critical review of the | text. In particular, J. W. Akkerman of the Lyndon B. Johnson Space Center; K. W. Baud of the Lewis Research Center; R. H. Henry of Space Division, Rockwell International Corporation; H. "
Who were the individuals that reviewed the monograph in detail?,"S. Hillbrath of The Boeing Company; P. L. Muller of Marshall Space Flight Center; F. D. Sullivan of Aerojet Liquid Rocket Company; and T. M. Weathers of Systems ‘ Group, TRW, Inc. individually and collectively reviewed the monograph in detail. | Comments concerning the technical content of this monograph will be welcomed by the National Aeronautics and Space Administration, Lewis Research Center (Design Criteria Office), Cleveland, Ohio 44135. April 1977 | { at | | | i |. "
What organization is associated with the sale of the mentioned document?,| For sale by the National Technical Information Serviceie... oe oe ae ee iat Se eye ee Bids ail ae nee | | GUIDE TO THE USE OF THIS MONOGRAPH
What is the primary goal of the monograph regarding the design process in development and operational programs?,"| The purpose of this monograph is to organize and present, for effective use in design, the significant experience and knowledge accumulated in development and operational programs to date. It reviews and assesses current design practices, and from them establishes firm guidance for achieving greater consistency in design, increased reliability in the end"
What are the key factors contributing to effective design as discussed in the review section of the document?,"| product, and greater efficiency in the design effort. The monograph is organized into two major sections that are preceded by a brief introduction and complemented by a set of references.‘ The State of the Art, section 2, reviews and discusses the total design problem, and identifies which design elements are involved in successful design. It describes succinctly the"
What is the process for obtaining detailed information when current technology is involved?,"{ current technology pertaining to these elements. When detailed information is required, the"
What is the purpose of establishing rules and guidelines for essential design elements within a technological framework?,"best available references are cited. This section serves as a survey of the subject that provides| background material and prepares a proper technological base for the Design Criteria andThe Design Criteria, shown in italics in section 3, state clearly and briefly what rule, guide,| limitation, or standard must be imposed on each essential design element to assure"
What role do the Design Criteria play in guiding project managers during the evaluation of a project's design?,' successful design. The Design Criteria can serve effectively as a checklist of rules for the project manager to use in guiding a design or in assessing its adequacy.
What should be included when the best procedure cannot be described concisely in design documentation?,"| The Recommended Practices, also in section 3, state how to satisfy each of the criteria.: Whenever possible, the best procedure is described; when this cannot be done concisely,| appropriate references are provided. The Recommended Practices, in conjunction with the| Design Criteria, provide positive guidance to the practicing designer on how to achieve"
How is the organization of subsections structured to illustrate the relationship between similar subjects across different sections?,| Both sections have been organized into decimally numbered subsections so that the subjects within similarly numbered subsections correspond from section to section. The format for the Contents displays this continuity of subject in such a way that a particular aspect of
What is the purpose of the design criteria monograph in relation to design methodologies?,"| design can be followed through both sections as a discrete subject.| The design criteria monograph is not intended to be a design handbook, a set of"
What criteria can be used to evaluate the effectiveness of a summary of successful design methods?,"| specifications, or a design manual. It is a summary and a systematic ordering of the large and loosely organized body of existing successful design techniques and practices. Its value and its merit should be judged on how effectively it makes that material available to and useful"
What is included in the glossary related to design terminology and practices for space vehicle criteria?,"iii | | I Page intentionally left blank CONTENTS Page | 3. DESIGN CRITERIA and Recommended Practices . . 2... 22. + + eee ees 103 | APPENDIX A — Conversion of U.S. Customary Units toSI Units ........-+-+.-. 145 FAUPENDDINGBe— Glossary, = spe naphic Hee os So Ta eet othe, Sete ee Sieg one alin tS roi Ms tele 147 NASA Space Vehicle Design Criteria Monographs Issued toDate . . . . - +--+ +++ > 171 | SUBJECT STATE OF THE ART DESIGN CRITERIA | LINE ASSEMBLY a1 11 Shi 103 Routing 211 16 par ey | 103 | Centerline Geometry 2444 16 Seb, 103 Deflection Limitation Zlel oe: 20 Olde 104 | Torsional Deflection Zl es 21 EMER 104 Sizing Beled. "
What is the significance of adjusting the wall thickness in flow area calculations?,"22 S12 105 | Flow Area PASEIR S| 22 sulle 105 Wall Thickness 2.1.2.2 23 3.1.2.2 105 Control of Pressure Drop Pri Ne} 24 GELS, 106 Flow-Direction Change Zeal 24 ep eal 106 Flow-Area Change Pi beak 26 ZAg312 107 Flow Distribution PRI Cae 26 swiss) 108 Flow Resistance 2.1.3.4 28 3.1.3.4 109 | Control of Pump-Inlet-Line Vibration 2.1.4 28 SAA 109 Components Peal) 32 EhitS) 109 Separable Connectors PASS 32 So 109 Manifolds Zils sie, 33 B52 110 | Brackets, Bosses, and Mounting Lugs 2 hS.3: 34 os 111 Insulation 2.1.5.4 36 SLA 111 1 Hot-to-Cold Duct Intersections Zed. "
